ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
220,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,股骨,完整,,1,,,,"29,91","33,37",180,,,,,,,,,,,,,
221,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,肩胛骨,,,1,,"28,66","17,88",,,,,,,,,,,,,,,,
222,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,骶骨,,,1,,,,,,,,,,,,,,,,,,,
223,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,肩胛骨,,,1,,,,,,,,,,,,,,,,,,,
224,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,股骨,远端,,1,,,,,,,,,,,,,,,,,,,
225,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,股骨,近端,,1,,,,,,,,,,,,,,,,,,,
226,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,胫骨,近端,,1,,"32,69","31,96",,,,,,,,,,,,,,,,
227,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,胫骨,近端,,1,,,,,,,,,,,,,,,,,,,
228,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,一付,跟骨,,,1,,"43,37","19,2","17,06",,,,,,,,,,,,,,,
229,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,距骨,,,1,,"28,17","17,75",,,,,,,,,,,,,,,,
230,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,右,胫骨,远端,,1,,"22,51","16,35",,,,,,,,,,,,,,,,
231,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,距骨,,,1,,,,,,,,,,,,,,,,,,,
232,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,掌骨或跖骨,,,12,,,,,,,,,,,,,,,,,,,
233,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,第1节趾骨,,,5,,,,,,,,,,,,,,,,,,,
234,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,第2节趾骨,,,2,,,,,,,,,,,,,,,,,,,
235,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,第3节趾骨,,,1,,,,,,,,,,,,,,,,,,,
236,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,尾椎,,,2,,,,,,,,,,,,,,,,,,,
237,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,腓骨,近端,,1,,,,,,,,,,,,,,,,,,,
238,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,左,胫骨,远端,,1,,,,,,,,,,,,,,,,,,,
239,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,脊椎,,,8,,,,,,,,,,,,,,,,,,,
240,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,肋骨,碎块,,16,,,,,,,,,,,,,,,,,,,
241,2000,HD,T31,M54,08,XG7,,距地表6.02米,狗,,髌骨,,,1,,,,,,,,,,,,,,,,,,,
242,2000,HD,T31,M54,08,XG7,,向上0.15米为07狗骨架,狗,一付,下颌骨,,,1,"左P3-M2,右M1-M3","20,24","8,32","8,6","6,38","4,28","3,7",,,"70,89","66,21","32,12","40,23","35,5","20,09","18,33","24,94","22,11",
243,2000,HD,T31,M54,08,XG7,,向上0.15米为07狗骨架,狗,,寰椎,,,1,,,,,,,,,,,,,,,,,,,
244,2000,HD,T31,M54,08,XG7,,向上0.15米为07狗骨架,狗,一付,上颌骨,,,1,"左P4+M1,右P3-M2","12,38","15,5",,,"18,25","9,69",,,,,,,,,,,,
