分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
,大司空,53大司空M23,,,,二层台/鸡/整,,,,,,
,大司空,53大司空M108,,,,棺内/鸡/整,,,,,,
,大司空,53大司空M98,,,,腰坑/狗/整/3/头反,,,,,,
,大司空,53大司空M313,,,,腰坑/狗/整/3/头反,,,,,,
,大司空,53大司空M175,,,车马坑,车马坑/马/整/2,,,,,,
末,大司空,58大司空M16,,,,头前台/狗/整/1,,,,,,
末,大司空,58大司空M35,,,,腰坑/狗/整/1,棺上/狗/整/1,,,,,
末,大司空,58大司空M12,,,,二层台/狗/整/1,,,,,,
末,大司空,58大司空M9,,,,二层台/狗/整/1,,,,,,
末,大司空,58大司空M22,,,,二层台/狗/整/1,,,,,,
4,大司空,62大司空M53,,/头北,,二层台/牛/腿,二层台/羊/腿,,,,,
3/4,大司空,80大司空M539,,,,腰坑/狗/整/1/头西,,,,,,
2,大司空,86大司空南M29,,/头南,,腰坑/狗/整/1/头北,,,,,,
4,大司空,83大司空M646,,/头北/中下,,填土/狗/整/1,二层台/牛/腿/1,,,,,
4,大司空,04大司空M303,,/头北/高,,填土/狗/整/3/头南,腰坑/狗/整/1/头南,二层台/牛/腿/1,二层台/羊/腿/1,,,
2晚,大司空,83大司空M663,,/头东,,腰坑/狗/整/1/头西,,,,,,
3,大司空,12-15大司空M43,,/头南,土坑竖穴,腰坑/狗/整/1/头北,,,,,,
2早,大司空,15-16大司空M28,,,,腰坑/狗,二层台/兽/腿,,,,,
3,大司空,15-16大司空M7,,,,二层台/牛/腿/1,二层台/羊/腿/1,西北角簋/羊/腿/1,填土/狗/整/2/头南,腰坑/狗/整/1,,
4,大司空,15-16大司空M27,,/头北,,腰坑/狗/整/1/头南,,,,,,
3晚,大司空,15-16大司空M60,,男/头北,,腰坑/狗/整/1/头南,二层台/兽/腿/2,,,,,
4,大司空,15-16大司空M1,,女,,填土/狗/整/1/头南,二层台/牛/腿/1,二层台/羊/腿/2,,,,
4,大司空,15-16大司空M94,,,车马坑,车马坑/马/整/2/头南,,,,,,
4,高楼庄,91高楼庄M1,,,,腰坑/狗/整/1/头北,二层台/兽,填土/狗/整,,,,
4,郭庄,86郭庄北M6,,/头北/中,,填土/狗/整/1,腰坑/狗/整/1/头南,二层台/牛/腿/1,二层台/羊/腿/2,,,
2,辛店,16辛店M21,,/头北,,腰坑/狗/整,二层台/狗/整/2/头北头西,,,,,
2,辛店,16辛店M26,,/头东,,腰坑/狗/整/1/头南,二层台/狗/整/2/头东,椁盖/羊/头/1,,,,
4,辛店,16辛店M41,,男,,二层台/狗/整/2/头北头南,,,,,,
2/3,范家庄,05范家庄M4,,,,二层台/狗/整/3,二层台/牛/腿/1,二层台/羊/腿/1,,,,
4,榕树湾,07榕树湾M1,,/头东/中小,,腰坑/狗/整/1/头西,墓底/羊/整/1,墓底/鸡,,,,
2晚,任家庄,16-17任家庄M114,,/头北,,腰坑/狗/整/1/头南,二层台/羊/腿/1,,,,,
2/3,任家庄,16-17任家庄M168,,,,腰坑/狗/整,,,,,,
,任家庄,16-17任家庄M,,,,,,,,,,
4,新安庄,2007AXAM103,,,土圹竖穴,腰坑/狗/整/1/头南,,,,,,
4,新安庄,2007AXAM111,,男/头东,土圹竖穴,填土/狗/整/1/头东,,,,,,
,孝民屯,59孝民屯南车马坑1,,,车马坑,车马坑/马/整/2,,,,,,
,孝民屯,59孝民屯南车马坑2,,,车马坑,车马坑/马/整/2,,,,,,
4,孝民屯,89-90孝民屯东南M1228,,,,腰坑/狗/整/1,,,,,,
,孝民屯,89-90孝民屯东南M1231,,,,腰坑/狗/整/1,,,,,,
,孝民屯,89-90孝民屯东南M1233,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
2,孝民屯,89-90孝民屯东南M1240,,,,腰坑/狗/整/1,,,,,,
2,孝民屯,89-90孝民屯东南M1242,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1245,,,,腰坑/狗/整/1,,,,,,
4,孝民屯,89-90孝民屯东南M1246,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1250,,,,腰坑/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1251,,,,填土/狗/整/1,,,,,,
3,孝民屯,89-90孝民屯东南M1254,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
